商品分类,商品id,商品名称,品牌名称,机型,店铺名称,商家名称,商品押金,租赁价格/天,买断价
手机,334564,全新国行iPhone14Pro 赠送壳膜 顺丰包邮寄出,苹果,iPhone14Pro,商家精选,广州研趣信息科技有限公司,8899.00,14.05,9999.00
手机,334569,全新国行iPhone14ProMax 赠送壳膜 顺丰包邮寄出,苹果,iPhone14ProMax,商家精选,广州研趣信息科技有限公司,9899.00,15.35,11249.00
手机,334561,全新国行原封iPhone14 赠送壳膜 顺丰包邮寄出,苹果,iPhone14,商家精选,广州研趣信息科技有限公司,6899.00,11.91,7379.00
手机,334563,全新国行iPhone14Plus 赠送壳膜 顺丰包邮寄出,苹果,iPhone14Plus,商家精选,广州研趣信息科技有限公司,7899.00,11.05,8399.00
手机,359914,全新国行原封iPhone13 5G双卡双待 顺丰包邮寄出,苹果,iPhone13,商家精选,广州研趣信息科技有限公司,6299.00,9.27,6425.00
手机,335586,99新国行iPhone14Pro 赠送壳膜 顺丰包邮寄出,苹果,iPhone14Pro,二手严选商城,广州人人租供应链服务有限公司,6930.00,12.66,9108.00
手机,335592,99新国行iPhone14ProMax 赠送壳膜 顺丰包邮,苹果,iPhone14ProMax,二手严选商城,广州人人租供应链服务有限公司,7980.00,13.56,10558.00
手机,344555,95新iPhone12Pro 5G全网通 双卡双待,苹果,iPhone12Pro,二手严选商城,广州人人租供应链服务有限公司,4250.00,8.39,5949.00
手机,344571,95新iPhone12ProMax 5G全网通 双卡双待 ,苹果,iPhone12ProMax,二手严选商城,广州人人租供应链服务有限公司,4900.00,8.86,6742.00
手机,360100,95新iPhone13ProMax 现货速发 包邮,苹果,iPhone13ProMax,二手严选商城,广州人人租供应链服务有限公司,6300.00,11.39,8265.00
手机,360096,95新苹果iPhone13   国行5G 全网通,苹果,iPhone13,二手严选商城,广州人人租供应链服务有限公司,4300.00,8.09,5655.00
手机,353845,95新苹果iPhone13Pro 租期质保 现货速发 包邮,苹果,iPhone13Pro,二手严选商城,广州人人租供应链服务有限公司,5700.00,10.19,7830.00
手机,342824,95新国行iPhoneXSMax 租期质保 现货速发,苹果,iPhoneXSMax,二手严选商城,广州人人租供应链服务有限公司,2350.00,4.38,2628.00
手机,225670,95新iPhone12 精选国行正品  5G全网通双卡双待 ,苹果,iPhone12,人人租精选商城,惠州新创星科技有限公司,3588.00,7.91,5387.00
手机,123489,全新国行苹果iPhone13 包邮全网通5G 双卡双待,苹果,,初心数码,龙岩初心网络科技有限公司,6799.00,11.50,7799.00
手机,148688,国行全新Apple iPhone 13 全网通5G 双卡双待,苹果,,布丁租赁,上饶市布丁科技有限公司,6799.00,13.77,7798.00
手机,56828,苹果iphoneX 5.8寸全网通 95新 可短租 可买断,苹果,,佰凡科技,深圳佰凡电子科技有限公司,1780.00,3.28,2120.00
手机,105191,国行苹果iPhone13 全网通5G 双卡双待 ,苹果,iPhone13,小猪租机,南京玖茗堂商贸有限公司,8399.00,7.90,7499.00
手机,133626,苹果iPhone13全新未激活 全网通双卡5G,苹果,iPhone13,天天数码,揭阳市逸龙网络科技有限公司,8399.00,9.68,7499.00
手机,148719,全新国行苹果iPhone13 包邮 全网通5G 双卡双待,苹果,iPhone13,E时代数码专营店,深圳市龙岗区联成数码专营店,6299.00,8.72,6533.00
手机,209822,全新国行苹果iPhone13 包邮全网通5G双卡双待,苹果,iPhone13,租机厅,深圳市深有情科技有限公司,4409.00,11.83,7018.00
手机,246083,全新国行苹果iPhone 14全网通双卡双待5G新款6.1寸,苹果,iPhone14,人人租精选商城,厦门鸭母算数码有限公司,8699.00,9.84,7559.00
手机,251636,全新国行苹果iPhone 14Plus 双卡双待未拆封包邮,苹果,iPhone14Plus,人人租精选商城,厦门鸭母算数码有限公司,9699.00,13.61,8678.00
手机,255782,全新国行 苹果iPhone 14 5G全网通手机,苹果,iPhone14,缤纷数码,武汉市畅享缤纷科技有限公司,8699.00,13.97,7798.00
手机,276745,全新国行 iPhone14 5G  顺丰包邮,苹果,iPhone14,租机殿,东莞市腾奕电子科技有限公司,6899.00,9.84,7678.00
手机,287687,全新苹果iphone13 包邮 双卡双待 国行正品,苹果,iPhone13,和运租赁,衢州市衢江区合运通讯设备租赁服务部,6299.00,8.60,6478.80
手机,289889,全新国行 苹果 iPhone 13 双卡双待手机.,苹果,iPhone13,惠享租,温州奕品网络科技有限公司,7799.00,8.87,6587.00
手机,292454,全新国行苹果iPhone13 全网通5G 顺丰包邮,苹果,iPhone13,裕文电讯店,永定区裕文电讯店,6199.00,8.87,6678.00
手机,304475,全新未拆国行正品iPhone14Pro 5G全网通,苹果,iPhone14Pro,南京硕羽格手机租赁,玄武区硕羽格电子科技中心,12600.00,17.80,11300.00
